model,R2_train,R2_test,RMSE_train,RMSE_test
RandomForest (tuned),0.9014266793384589,0.44870381261305103,192.34419244091634,541.8745859013213
RandomForest(300),0.9346689539719462,0.4445187518574343,156.5882571431596,543.9274664784657
KNN (RFE),0.5078610699936562,0.3948914476786043,429.7770739968959,567.7052806820504
KNN (tuned),0.5391547275558406,0.28012526151349293,415.8885394586511,619.2054287924525
KNN (k=5),0.6010678790441955,0.2547738923621973,386.9446865847759,630.0141721761956
Linear+Scale,0.29517332173903454,0.226822505108059,514.3284542477669,641.7204666193688
Ridge(10)+Scale,0.29471332880591206,0.22323371477251264,514.4962606553335,643.2080512939648
DecisionTree (Base),1.0,0.2190638980648425,0.0,644.9321669757215
Gaussian Naive Bayes,0.4735805667160077,0.15544572683281677,444.49342488039656,670.6872807586473
Gaussian Naive Bayes (SKB),0.42409864664834007,0.02561101373873509,464.9148667587791,720.397955498011
